scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-b,read,10,44,preflight.cloud_head_fetch,443.51
ycsb-b,read,10,44,preflight.outbox_replay,0.069
ycsb-b,read,10,44,preflight.relay_fetch_r2,2209.206
ycsb-b,read,10,44,preflight.total,2659.992
ycsb-b,read,10,44,read.blob_decrypt_verify,1.116
ycsb-b,read,10,44,read.blob_fetch,577.152
ycsb-b,read,10,44,read.path_resolution,4961.926
ycsb-b,read,10,45,auth.kdf_identity,192.623
ycsb-b,read,10,45,preflight.checkpoint_evaluation,0.741
ycsb-b,read,10,45,preflight.cloud_head_fetch,451.611
ycsb-b,read,10,45,preflight.outbox_replay,0.073
ycsb-b,read,10,45,preflight.relay_fetch_r2,2333.034
ycsb-b,read,10,45,preflight.total,2791.274
ycsb-b,read,10,45,read.blob_decrypt_verify,0.176
ycsb-b,read,10,45,read.blob_fetch,613.664
ycsb-b,read,10,45,read.path_resolution,4749.358
ycsb-b,read,10,46,auth.kdf_identity,198.499
ycsb-b,read,10,46,preflight.checkpoint_evaluation,0.731
ycsb-b,read,10,46,preflight.cloud_head_fetch,502.169
ycsb-b,read,10,46,preflight.outbox_replay,0.07
ycsb-b,read,10,46,preflight.relay_fetch_r2,3645.573
ycsb-b,read,10,46,preflight.total,4154.023
ycsb-b,read,10,46,read.blob_decrypt_verify,0.268
ycsb-b,read,10,46,read.blob_fetch,582.777
ycsb-b,read,10,46,read.path_resolution,5242.981
ycsb-b,read,10,47,auth.kdf_identity,178.472
ycsb-b,read,10,47,preflight.checkpoint_evaluation,0.653
ycsb-b,read,10,47,preflight.cloud_head_fetch,642.064
ycsb-b,read,10,47,preflight.outbox_replay,0.073
ycsb-b,read,10,47,preflight.relay_fetch_r2,2327.198
ycsb-b,read,10,47,preflight.total,2975.196
ycsb-b,read,10,47,read.blob_decrypt_verify,0.2
ycsb-b,read,10,47,read.blob_fetch,614.847
ycsb-b,read,10,47,read.path_resolution,4674.063
ycsb-a,update,10,48,auth.kdf_identity,176.86
ycsb-a,update,10,48,commit.checkpoint_create_journal,3.01
ycsb-a,update,10,48,commit.checkpoint_publish_w2,2451.463
ycsb-a,update,10,48,commit.cloud_head_recheck,498.58
ycsb-a,update,10,48,commit.dropbox_cas,856.022
ycsb-a,update,10,48,commit.dropbox_readback,360.614
ycsb-a,update,10,48,commit.local_finalize,4.258
ycsb-a,update,10,48,preflight.checkpoint_evaluation,2.084
ycsb-a,update,10,48,preflight.cloud_head_fetch,1243.759
ycsb-a,update,10,48,preflight.outbox_replay,0.372
ycsb-a,update,10,48,preflight.relay_fetch_r2,7438.191
ycsb-a,update,10,48,write.cas_checkpoint_finalize,9880.377
ycsb-a,update,10,48,write.head_journal,2.419
ycsb-a,update,10,48,write.object_prepare_upload,9205.371
ycsb-a,update,10,48,write.preflight,2995.999
ycsb-a,read,10,49,auth.kdf_identity,189.09
ycsb-a,read,10,49,preflight.checkpoint_evaluation,1.308
ycsb-a,read,10,49,preflight.cloud_head_fetch,499.337
ycsb-a,read,10,49,preflight.outbox_replay,0.072
ycsb-a,read,10,49,preflight.relay_fetch_r2,2340.664
ycsb-a,read,10,49,preflight.total,2848.159
ycsb-a,read,10,49,read.blob_decrypt_verify,0.195
ycsb-a,read,10,49,read.blob_fetch,670.615
ycsb-a,read,10,49,read.path_resolution,4681.05
ycsb-a,update,10,50,auth.kdf_identity,188.182
ycsb-a,update,10,50,commit.checkpoint_create_journal,2.306
ycsb-a,update,10,50,commit.checkpoint_publish_w2,2379.538
ycsb-a,update,10,50,commit.cloud_head_recheck,448.132
ycsb-a,update,10,50,commit.dropbox_cas,913.098
ycsb-a,update,10,50,commit.dropbox_readback,409.745
ycsb-a,update,10,50,commit.local_finalize,4.473
ycsb-a,update,10,50,preflight.checkpoint_evaluation,4.037
ycsb-a,update,10,50,preflight.cloud_head_fetch,1481.327
ycsb-a,update,10,50,preflight.outbox_replay,0.3
ycsb-a,update,10,50,preflight.relay_fetch_r2,7052.809
ycsb-a,update,10,50,write.cas_checkpoint_finalize,9640.042
ycsb-a,update,10,50,write.head_journal,0.794
ycsb-a,update,10,50,write.object_prepare_upload,9028.604
ycsb-a,update,10,50,write.preflight,3078.095
ycsb-a,read,10,51,auth.kdf_identity,202.071
ycsb-a,read,10,51,preflight.checkpoint_evaluation,1.307
ycsb-a,read,10,51,preflight.cloud_head_fetch,623.846
ycsb-a,read,10,51,preflight.outbox_replay,0.068
ycsb-a,read,10,51,preflight.relay_fetch_r2,2692.654
ycsb-a,read,10,51,preflight.total,3323.671
ycsb-a,read,10,51,read.blob_decrypt_verify,0.276
ycsb-a,read,10,51,read.blob_fetch,1979.201
ycsb-a,read,10,51,read.path_resolution,3887.18
ycsb-a,update,10,52,auth.kdf_identity,198.907
ycsb-a,update,10,52,commit.checkpoint_create_journal,3.568
ycsb-a,update,10,52,commit.checkpoint_publish_w2,2592.45
ycsb-a,update,10,52,commit.cloud_head_recheck,414.384
ycsb-a,update,10,52,commit.dropbox_cas,866.069
ycsb-a,update,10,52,commit.dropbox_readback,415.893
ycsb-a,update,10,52,commit.local_finalize,4.646
ycsb-a,update,10,52,preflight.checkpoint_evaluation,2.497
ycsb-a,update,10,52,preflight.cloud_head_fetch,1339.506
ycsb-a,update,10,52,preflight.outbox_replay,0.351
ycsb-a,update,10,52,preflight.relay_fetch_r2,6827.334
ycsb-a,update,10,52,write.cas_checkpoint_finalize,9630.27
ycsb-a,update,10,52,write.head_journal,2.224
ycsb-a,update,10,52,write.object_prepare_upload,7576.624
ycsb-a,update,10,52,write.preflight,2855.249
